ID,Question,Option A,Option B,Option C,Option D,Correct Answer,Reference
1,దేవుడు సృష్టించిన మొదటి మానవుడు ఎవరు? (Who is the first man created by God?),ఆదాము (Adam),నోవహు (Noah),అబ్రాహాము (Abraham),మోషే (Moses),ఆదాము (Adam),ఆదికాండము 2:7 (Genesis 2:7)
2,ఓడను నిర్మించింది ఎవరు? (Who built the Ark?),దావీదు (David),నోవహు (Noah),యోనా (Jonah),యేసు (Jesus),నోవహు (Noah),ఆదికాండము 6:14 (Genesis 6:14)
3,గొల్యాతును చంపినది ఎవరు? (Who killed Goliath?),సౌలు (Saul),యోనాతాను (Jonathan),దావీదు (David),సాల్మన్ (Solomon),దావీదు (David),1 సమూయేలు 17:50 (1 Samuel 17:50)
4,పెద్ద చేప మింగిన ప్రవక్త ఎవరు? (Who was swallowed by a great fish?),దానియేలు (Daniel),యోనా (Jonah),ఏలీయా (Elijah),మోషే (Moses),యోనా (Jonah),యోనా 1:17 (Jonah 1:17)
5,దేవుడు మోషేకు ఎన్ని ఆజ్ఞలు ఇచ్చాడు? (How many commandments did God give to Moses?),7,12,10,40,10,నిర్గమకాండము 20:1-17 (Exodus 20:1-17)
6,యేసు ఎక్కడ జన్మించాడు? (Where was Jesus born?),నజరేతు (Nazareth),బెత్లెహేము (Bethlehem),యెరూషలేము (Jerusalem),కాపెర్నహూము (Capernaum),బెత్లెహేము (Bethlehem),మత్తయి 2:1 (Matthew 2:1)
7,యేసును 30 వెండి నాణేలకు అప్పగించినది ఎవరు? (Who betrayed Jesus for 30 pieces of silver?),పేతురు (Peter),యోహాను (John),యూదా ఇస్కరియోతు (Judas Iscariot),తోమా (Thomas),యూదా ఇస్కరియోతు (Judas Iscariot),మత్తయి 26:15 (Matthew 26:15)
8,యేసుతో పాటు నీటి మీద నడిచింది ఎవరు? (Who walked on water with Jesus?),యాకోబు (James),యోహాను (John),పేతురు (Peter),అంద్రెయ (Andrew),పేతురు (Peter),మత్తయి 14:29 (Matthew 14:29)
9,జలప్రళయం సమయంలో ఎన్ని పగళ్లు రాత్రులు వర్షం కురిసింది? (How many days and nights did it rain during the great flood?),10,20,30,40,40,ఆదికాండము 7:12 (Genesis 7:12)
10,బైబిల్ లోని చివరి పుస్తకం ఏది? (What is the last book of the Bible?),యూదా (Jude),యోహాను సువార్త (John),ప్రకటన (Revelation),హెబ్రీయులు (Hebrews),ప్రకటన (Revelation),ప్రకటన 22:21 (Revelation 22:21)
